intitule;intitulecourt;producteur;reference;reference2;datepubli;champ_sexe;champ_geo;champ_autre;onglet;zone;complzone;url;annees_en_colonnes
taux de retraités par âge;txretr;DREES;Panorama Retraités & retraites;fiche15;2022;ensemble;résidents en france;;F15_Graphique 4 compl;B6:S27;;https://drees.solidarites-sante.gouv.fr/sites/default/files/2022-05/Retr2022_Fiche15.xlsx;TRUE
taux de retraités par âge;txretr;DREES;Panorama Retraités & retraites;fiche15;2022;femmes;résidents en france;;F15_Graphique 4 compl;B31:S52;;https://drees.solidarites-sante.gouv.fr/sites/default/files/2022-05/Retr2022_Fiche15.xlsx;TRUE
taux de retraités par âge;txretr;DREES;Panorama Retraités & retraites;fiche15;2022;hommes;résidents en france;;F15_Graphique 4 compl;B56:S77;;https://drees.solidarites-sante.gouv.fr/sites/default/files/2022-05/Retr2022_Fiche15.xlsx;TRUE
taux de nouveaux retraités par âge;txnouvretr;DREES;Panorama Retraités & retraites;fiche16;2022;ensemble;résidents en france;;F16_Graphique 2;B4:S25;;https://drees.solidarites-sante.gouv.fr/sites/default/files/2022-05/Retr2022_Fiche16.xlsx;TRUE
dépenses de retraite en pct du pib;partretrpib;COR;rapport annuel;partie2;2021-06-10;ensemble;ensemble;;Fig 2.1;C4:BV9;;https://www.cor-retraites.fr/sites/default/files/2021-07/Donn%C3%A9es_RA2021_P2_V2.xlsx;TRUE
pension moyenne relative;pensmoyrel;COR;rapport annuel;partie2;2021-06-10;ensemble;ensemble;;Fig 2.4;B4:BV14;1;https://www.cor-retraites.fr/sites/default/files/2021-07/Donn%C3%A9es_RA2021_P2_V2.xlsx;TRUE
pension moyenne nette relative;pensmoynetterel;COR;rapport annuel;partie3;2021-06-10;ensemble;ensemble;;Fig 3.9;B4:BM10;;https://www.cor-retraites.fr/sites/default/files/2021-06/Donn%C3%A9es_RA2021_P3.xlsx;TRUE
rapport nombre cotisants sur retraités;ratiocotretr;COR;rapport annuel;partie2;2021-06-10;ensemble;ensemble;;Fig 2.4;B4:BV14;2;https://www.cor-retraites.fr/sites/default/files/2021-07/Donn%C3%A9es_RA2021_P2_V2.xlsx;TRUE
âge conjoncturel de départ à la retraite;ageconjretr;COR;rapport annuel;partie2;2021-06-10;ensemble;ensemble;;Fig 2.5;B4:BV6;;https://www.cor-retraites.fr/sites/default/files/2021-07/Donn%C3%A9es_RA2021_P2_V2.xlsx;TRUE
ressources de retraite en pct du pib;partressourcespib;COR;rapport annuel;partie2;2021-06-10;ensemble;ensemble;;Fig 2.12;B4:CA17;;https://www.cor-retraites.fr/sites/default/files/2021-07/Donn%C3%A9es_RA2021_P2_V2.xlsx;TRUE
nombre de retraités;nbretr;COR;rapport annuel;partie2;2021-06-10;ensemble;ensemble;;Fig 2.6;B4:BV8;1;https://www.cor-retraites.fr/sites/default/files/2021-07/Donn%C3%A9es_RA2021_P2_V2.xlsx;TRUE
nombre de cotisants;nbcotis;COR;rapport annuel;partie2;2021-06-10;ensemble;ensemble;;Fig 2.6;B4:BV8;2;https://www.cor-retraites.fr/sites/default/files/2021-07/Donn%C3%A9es_RA2021_P2_V2.xlsx;TRUE
part des salaires dans la va;partsalva;COR;rapport annuel;partie1;2021-06-10;ensemble;ensemble;;Fig 1.19;B4:AL5;;https://www.cor-retraites.fr/sites/default/files/2021-11/Donn%C3%A9es_RA2021_P1_V3_modif_colloque_productivit%C3%A9.xlsx;TRUE
pension moyenne nette en euros 2019;pensmoynette;COR;rapport annuel;partie3;2021-06-10;ensemble;ensemble;;Fig 3.8;C4:BM9;;https://www.cor-retraites.fr/sites/default/files/2021-06/Donn%C3%A9es_RA2021_P3.xlsx;TRUE
Revenu des actifs moyen net en euros 2019;revactmoynet;COR;rapport annuel;partie3;2021-06-10;ensemble;ensemble;;Fig 3.8;C11:BM16;;https://www.cor-retraites.fr/sites/default/files/2021-06/Donn%C3%A9es_RA2021_P3.xlsx;TRUE
ratio des niveaux de vie des retraités et des actifs;rationivvie;COR;rapport annuel;partie3;2021-06-10;ensemble;ensemble;;Fig 3.10;C4:DA9;;https://www.cor-retraites.fr/sites/default/files/2021-06/Donn%C3%A9es_RA2021_P3.xlsx;TRUE
