date;type_document;type_format;libelle_loi;libelle_complet;url
14/04/23;html;dossier législatif (Légifrance);réforme de 2023;Loi n° 2023-270 du 14 avril 2023 de financement rectificative de la sécurité sociale pour 2023;https://www.legifrance.gouv.fr/dossierlegislatif/JORFDOLE000047022789/
14/04/23;html;Texte de loi;réforme de 2023;Loi n° 2023-270 du 14 avril 2023 de financement rectificative de la sécurité sociale pour 2023;https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000047445077
14/04/23;pdf;Texte de loi;réforme de 2023;Loi n° 2023-270 du 14 avril 2023 de financement rectificative de la sécurité sociale pour 2023;https://www.legifrance.gouv.fr/download/pdf?id=3myKrbXvy4utb9_03u4Aeu-nam6aCtsgM2LdqywZyGE=
14/04/23;pdf;étude d’impact;réforme de 2023;Loi n° 2023-270 du 14 avril 2023 de financement rectificative de la sécurité sociale pour 2023;https://www.legifrance.gouv.fr/contenu/Media/files/autour-de-la-loi/legislatif-et-reglementaire/actualite-legislative/2023/plfrss_ecox2300575l_rapport_annexe_cm_23.01.2023_0.pdf
14/04/23;pdf;exposé des motifs;réforme de 2023;Loi n° 2023-270 du 14 avril 2023 de financement rectificative de la sécurité sociale pour 2023;https://www.legifrance.gouv.fr/contenu/Media/files/autour-de-la-loi/legislatif-et-reglementaire/actualite-legislative/2023/plfrss_ecox2300575l_cm_23.01.2023.pdf
14/04/23;pdf;projet de loi;réforme de 2023;Loi n° 2023-270 du 14 avril 2023 de financement rectificative de la sécurité sociale pour 2023;https://www.legifrance.gouv.fr/contenu/Media/files/autour-de-la-loi/legislatif-et-reglementaire/actualite-legislative/2023/plfrss_ecox2300575l_cm_23.01.2023.pdf
;hmtl;Texte de Loi;réforme de 1971;Loi n° 71-1132 du 31 décembre 1971 portant amélioration des pensions de vieillesse du régime général de sécurité sociale et du régime des travailleurs salariés agricoles;https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000000508794/
;hmtl;Texte de Loi;réforme de 1975;Loi n°75-1279 du 30 décembre 1975 RELATIVE AUX CONDITIONS D'ACCES A LA RETRAITE DE CERTAINS TRAVAILLEURS MANUELS;https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000000699032
;;;réforme de 1964;Loi n°64-1339 du 26 décembre 1964 PORTANT REFORME DU CODE DES PENSIONS CIVILES ET MILITAIRES DE RETRAITE*;https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000000875638
;;;réforme de 1977;;
;;;réforme de 1986;Loi n°86-19 du 6 janvier 1986 relative à l'abaissement à soixante ans de l'âge de la retraite des personnes non-salariées des professions agricoles;https://www.legifrance.gouv.fr/jorf/id/JORFTEXT000000317530
;;;réforme de 1993;;
;;;réforme de 2003;;
